elapsed_s	state	tx	rx	malformed	mac_fail	src_viol	unroutable	rss_kb	ping_ms
6099	established	322660930	162723984	0	0	0	11	5320	1.58
6161	established	327298933	165057490	0	0	0	11	5320	1.23
6223	established	331928166	167393145	0	0	0	11	5320	0.948
6285	established	336583503	169739194	0	0	0	11	5320	0.889
6347	established	341259013	172095506	0	0	0	11	5320	1.60
6408	established	345897595	174436061	0	0	0	11	5320	1.36
6470	established	350406962	176709856	0	0	0	11	5324	0.976
6532	established	354707867	178877800	0	0	0	11	5320	0.859
6593	established	359011536	181049578	0	0	0	11	5320	1.57
6655	established	363588428	183354910	0	0	0	11	5320	1.59
6717	established	367674595	185415185	0	0	0	11	5320	1.12
6779	established	372157068	187676834	0	0	0	11	5320	1.01
6841	established	376769513	190005236	0	0	0	11	5320	1.01
6903	established	381451514	192367825	0	0	0	11	5320	1.30
6964	established	386014727	194667873	0	0	0	11	5320	0.989
7026	established	390630270	196995968	0	0	0	11	5320	1.33
7088	established	395211258	199307823	0	0	0	11	5320	1.70
7149	established	399703161	201572811	0	0	0	11	5320	2.74
7211	established	404095212	203780328	0	0	0	11	5320	0.912
7273	established	407891204	205694777	0	0	0	11	5320	1.20
7335	established	411487677	207508563	0	0	0	11	5320	1.54
7397	established	415050654	209303305	0	0	0	11	5320	1.76
7458	established	419567284	211573909	0	0	0	11	5320	0.823
7520	established	424170640	213891425	0	0	0	11	5320	2.33
7582	established	428735767	216186852	0	0	0	11	5320	1.68
7643	established	433288062	218482545	0	0	0	11	5320	1.25
7705	established	437359342	220531512	0	0	0	11	5320	1.25
7767	established	441420014	222580043	0	0	0	11	5320	1.52
7829	established	446038903	224901374	0	0	0	11	5320	1.30
7891	established	450665836	227230046	0	0	0	11	5320	1.39
7952	established	455229123	229529067	0	0	0	11	5320	1.29
8014	established	459617446	231741744	0	0	0	11	5320	1.20
8076	established	464085569	233995120	0	0	0	11	5320	1.36
8137	established	468634004	236290761	0	0	0	11	5320	1.33
8199	established	473264807	238628033	0	0	0	11	5320	1.54
8261	established	477850668	240942399	0	0	0	11	5320	0.835
8323	established	481677664	242872307	0	0	0	11	5320	1.12
8385	established	485371751	244735881	0	0	0	11	5320	1.58
8446	established	489184120	246658103	0	0	0	11	5320	1.11
